title,authors,pubdate,tags,#grrating,#grvotes,#wordcount,#pagecount,size,publisher
"The Lodger Shakespeare: His Life on Silver Street","Charles Nicholl","2007-12-01T03:00:00-05:00","General, Renaissance, Great Britain, Biography, Autobiography, History, Europe, Literary Figures","3.76","763","123393","400","3813646","Penguin"
"A Hero of Our Time","Mikhail Lermontov","1839-01-01T03:03:58-04:56:02","Classics, Historical, Fiction, History, Adventure","4.11","61711","64136","211","286867","Penguin Classics"
"The Sound of a Wild Snail Eating","Elisabeth Tova Bailey","2010-01-01T01:31:23-05:00","Life Sciences, Animals, General, Science, Essays, Nature","4.15","19699","28710","70","691558","Algonquin Books"
"Veganomicon: The Ultimate Vegan Cookbook","Isa Chandra Moskowitz & Terry Hope Romero","2007-01-01T03:00:00-05:00","Cookbooks, Reference, Health, Food","3.84","33003","135559","727","2381020","Da Capo Lifelong Books"
"Appetite for Reduction: 125 Fast and Filling Low-Fat Vegan Recipes","Isa Chandra Moskowitz & Matthew Ruscigno","2010-11-16T03:00:00-05:00","Cookbooks, Reference, Health, Food","3.93","7761","80907","224","3514868","Balance"
"Priceless: How I Went Undercover to Rescue the World's Stolen Treasures","Robert K. Wittman & John Shiffman","2010-04-15T09:10:37-04:00","History, Biography, True Crime, Crime, Art, Mystery","3.83","10151","97648","322","368293","Crown"
"Home to Italy","Peter Pezzelli","2004-01-01T03:00:00-05:00","Romance, Travel, Adult, Contemporary, Fiction","3.68","1606","67480","232","254626","Kensington Pub Corp"
"Pressure","Jeff Strand","2005-01-01T03:00:00-05:00","Horror, Suspense, Crime, Humour, Mystery, Paranormal, Thriller","4.05","2898","74364","313","543191","Leisure Books"
"Dweller","Jeff Strand","2010-01-01T03:00:00-05:00","Horror, Fantasy, Humour, Paranormal, Thriller","4.0","3194","77816","313","390584","Leisure Books"
"The Brutal Telling","Louise Penny","2009-09-22T03:00:00-04:00","Police Procedural, General, Detective and mystery stories, Fiction, Crime, Police, Suspense, Mystery Fiction, Thriller, Mystery, Detective, Traditional British, Murder, Adult, Contemporary, Hard-Boiled, Small Town, Rural, Thrillers, Psychological","4.23","92342","123807","494","388212","Minotaur Books"
"The Little Prince","Antoine de Saint-Exupéry","1943-04-06T03:00:00-04:00","Childrens, Young Adult, Classics, Fantasy, Children's Books, Philosophy","4.33","2320962","17550","101","217848","Wordsworth Editions"
"Tetrarch","Ian Irvine","2002-01-01T03:00:00-05:00","Science-Fiction, Science Fiction, Adult, Fantasy","4.03","1741","218544","806","3407859","Orbit"
"Geomancer","Ian Irvine","2001-09-01T03:00:00-04:00","Science-Fiction, Science Fiction, Adult, Fantasy","3.87","2397","200260","725","2450401","Orbit"
"Chimaera","Ian Irvine","2004-01-01T03:00:00-05:00","Adult, Science Fiction, Fantasy","4.08","1518","266859","988","3711894","Orbit"
"Fatal Flaw","William Lashner","2004-03-30T03:00:00-05:00","Suspense, Mystery, Detective, Crime, Fiction, Thrillers, Legal, General, Thriller","3.94","1036","139862","497","515712","HarperTorch"
"The Hound of Rowan","Henry H. Neff","2007-04-15T08:11:49-04:00","Fiction, Legends; Myths; Fables, General, Fantasy, Magic, Family, Action, Adventure, Children's Books, Epic, Art, Juvenile Fiction","4.05","13565","103783","394","765423","Random House"
"Less","Andrew Sean Greer","2017-07-18T03:00:00-04:00","Lgbtq+, Gay, Satire, Fiction, Adult, General, Literary, Humorous, Romance, bookclub, Humour, Travel, read_author, Contemporary","3.62","226494","72007","233","2648169","Little, Brown"
"A Memory of Wind","Rachel Swirsky","2009-11-03T03:00:00-05:00","Science Fiction, Historical, Adventure, Science-Fiction, Fantasy","3.81","717","12619","46","512533","Tor Books"
"How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships","Leil Lowndes","1998-10-01T03:00:00-04:00","Social Science, Self-Help","3.68","41798","77624","205","233054","PublishDrive"
"The Penguin Book of Victorian Women in Crime: Forgotten Cops and Private Eyes From the Time of Sherlock Holmes","Michael Sims","2010-12-08T03:00:00-05:00","Crime, Anthologies, Feminism, Mystery, Classics","3.74","356","118619","379","365344","Penguin Publishing Group"
"The Other Wes Moore: One Name, Two Fates","Wes Moore","2010-04-27T00:33:14-04:00","Crime, Sociology, History, Contemporary, Politics, Adult, Non-Fiction, Young Adult, Biography, Autobiography","3.87","55995","67684","186","9784677","Spiegel & Grau"
"Nefertiti","Michelle Moran","2007-07-10T03:00:00-04:00","Fiction, History, Adult, Romance, Fiction:Historical, Historical","4.09","40201","133655","516","492517","Crown"
"Cleopatra's Daughter","Michelle Moran","2009-09-15T03:00:00-04:00","Fiction, History, Adult, Romance, Young Adult, Fiction:Historical, Historical","4.12","30359","121652","476","874100","Crown"
"The Heretic Queen","Michelle Moran","2008-04-15T07:46:46-04:00","Fiction, History, Adult, Romance, Fiction:Historical, Historical","4.21","26155","111145","397","460758","Crown"
"Anonyponymous: The Forgotten People Behind Everyday Words","John Bemelmans Marciano","2009-10-27T03:00:00-04:00","Writing, History, Humour, Reference, Adult, Biography","3.52","417","27699","94","2655342","Bloomsbury USA"
"Naamah's Curse","Jacqueline Carey","2010-06-14T03:00:00-04:00","Science Fiction, Fantasy, Romance, Adult, Science-Fiction","4.16","11447","178090","657","529934","Grand Central Publishing"
"Safe Food: Bacteria, Biotechnology, and Bioterrorism","Marion Nestle","2003-01-01T03:00:00-05:00","Science, Health, Politics, Food","3.88","274","148952","399","3813426","University of California Press"
"Hanging Hill","Mo Hayder","2011-01-01T03:00:00-05:00","Horror, Suspense, Crime, Mystery, Thriller, Fiction:Detective","3.88","6713","123533","418","549909","Bantam Press"
"Lyra's Oxford","Philip Pullman","2003-04-15T11:11:27-04:00","Visionary, Metaphysical, Science Fiction, General, People, Places, Fantasy, Magic, Europe, Action, Adventure, Science-Fiction, Juvenile Fiction","3.63","29311","8140","28","1872396","Alfred A. Knopf"
"La Daga","Philip Pullman","1997-07-22T03:00:00-04:00","Fantasy, Fiction:Young Adult, Science Fiction, Young Adult, Adventure, Childrens, Juvenile Fiction, Magic, Fiction, General","4.15","461173","99526","344","356165","EDB INFANTIL FICCION"
"The Amber Spyglass","Philip Pullman","2000-10-10T03:00:00-04:00","Fantasy, Young Adult, Adventure, Science Fiction, Childrens","4.11","384437","159085","540","531392","Laurel Leaf"
"The Golden Compass","Philip Pullman","2007-07-15T03:00:00-04:00","Fiction:Young Adult, Childrens, Science Fiction, Adventure, Young Adult, Fantasy, Science-Fiction","4.03","1582813","117579","411","414689","Findaway World Llc"
"The Good Man Jesus and the Scoundrel Christ","Philip Pullman","2009-12-04T03:00:00-05:00","Fantasy, Fiction, Contemporary, Philosophy, Religion, Historical","3.43","14646","37559","130","489100","Canongate U.S."
"The Leopard","Giuseppe Tomasi Di Lampedusa","1958-11-11T03:00:00-05:00","Fiction, Political, Literary, General, bookclub, Classics, read_author, Historical","4.01","48442","88930","268","1322143","NEAP"
"The Ninth Daughter","Barbara Hamilton","2009-08-29T03:00:00-04:00","Mystery, Mystery:Historical, Historical, Adult","3.68","1156","110185","355","484770","Penguin Publishing Group"
"The Haunting of Hill House","Shirley Jackson","1959-10-16T04:00:00-04:00","Horror, Mystery, Paranormal, Thriller, Adult, Fantasy","3.82","352382","64531","224","250902","Penguin Classics"
"Hangsaman","Shirley Jackson","1951-01-01T03:00:00-05:00","Adult, Mystery, Thriller, Horror, Classics","3.77","10265","81542","264","2185590","Penguin"
"The Lottery","Shirley Jackson","1948-06-26T03:00:00-04:00","Horror, Short Stories, Classics, Science Fiction","4.04","110683","3375","11","36781","Creative Education"
"Peter Pan","J. M. Barrie","1911-01-01T03:00:00-05:00","Childrens, Adventure, Young Adult, Classics, Fantasy","4.03","362958","63484","223","2192994","Modern Library"
"Basic Writings of Nietzsche","Friedrich Nietzsche","1967-01-01T03:00:00-05:00","History, Reference, Philosophy, Modern, Classics","4.13","4128","278152","736","930839","Random House, Inc."
"Beyond Good and Evil","Friedrich Nietzsche","1886-01-01T03:00:00-05:00","Philosophy, Classics, Psychology, Religion, History, 19th Century, German, Science, Fiction, General, Modern","4.03","106200","63884","196","203158","Penguin Classics"
"Ecce Homo","Friedrich Nietzsche","1908-01-01T03:00:00-05:00","Autobiography, Biography, Classics, Philosophy, Psychology, Non-Fiction","3.81","18812","40338","118","261263","Digireads.Com"
"Thus Spake Zarathustra by Friedrich Wilhelm Nietzsche Unabridged 1885","Friedrich Nietzsche","1883-01-01T02:56:56-04:56:02","Psychology, Classics, Philosophy, Religion","4.07","177529","113354","412","462835","CreateSpace Independent Publishing Platform"
"The Tiger's Wife","Téa Obreht","2011-03-08T03:00:00-05:00","Fantasy, Fiction, Contemporary, Historical, War","3.42","102540","110832","334","606428","Random House"
"The Diary of a U-Boat Commander","R. N. Etienne & Stephen King-Hall","1920-01-01T03:00:00-05:00","War, History, Biography","3.73","515","49619","161","628811","BiblioLife"
"A Short History of Tractors in Ukrainian","Marina Lewycka","2005-03-31T03:00:00-05:00","Contemporary, Humour, Fiction:Historical","3.45","37228","82987","291","272300","Penguin (Non Classics)"
"We Are All Made of Glue","Marina Lewycka","2009-01-01T03:00:00-05:00","Contemporary, Humour, Fiction","3.53","4804","114323","404","371829","Fig Tree"
"Rewired: The Post-Cyberpunk Anthology","James Patrick Kelly","2007-10-01T03:00:00-04:00","Short Stories, Science Fiction, Fantasy, Anthologies, Science-Fiction","3.77","801","163299","571","498309","Tachyon Publications"
"Babbitt","Sinclair Lewis","1922-01-01T03:00:00-05:00","Classics, Historical","3.69","24895","123705","413","544499","Kessinger Publishing"
"Wading Home","Rosalyn Story","2010-01-01T03:00:00-05:00","Mystery, Contemporary, Historical","3.87","1080","103629","348","388814","Agate Bolden"
"The Hangman's Daughter","Oliver Pötzsch","2008-03-13T03:00:00-04:00","Fiction, Mystery, Detective, General, Thrillers, Suspense, Occult, Supernatural, Fiction:Young Adult, Historical, Action, Adventure, Women Sleuths, Private Investigators, Religious, Crime, World Literature, Germany, Places, Europe","3.75","78524","134969","470","478977","AmazonCrossing"
"Self's Deception","Bernhard Schlink","1992-01-01T03:00:00-05:00","Crime, Politics, Contemporary, Mystery, Thriller","3.52","641","84634","270","369735","Vintage Crime/Black Lizard"
"Can You Keep a Secret?","Sophie Kinsella","2003-03-23T03:00:00-05:00","Romance, Contemporary, Humour, Adult","3.82","477029","95571","393","287306","Dell"
"Standing in the Rainbow","Fannie Flagg","2002-01-01T03:00:00-05:00","Adult, Contemporary, Humour, Fiction:Humor, Historical","4.07","18915","166824","517","463407","Ballantine Books"
"Can't Wait to Get to Heaven","Fannie Flagg","2006-01-01T03:00:00-05:00","Fiction:Humor, Adult, Contemporary, Humour","3.95","21287","91661","322","325744","Random House"
"Three Weeks With My Brother","Nicholas Sparks & Micah Sparks","2004-04-05T03:00:00-04:00","Romance, Travel, Adult, Biography, Autobiography","4.05","50037","102542","357","1160070","Grand Central Publishing"
"Master of the Crossroads","Madison Smartt Bell","2000-10-17T03:00:00-04:00","Fiction, War, Military, General, Historical","4.25","238","308524","979","1768711","Vintage"
"All Souls' Rising","Madison Smartt Bell","1995-10-03T03:00:00-04:00","Historical, Fiction, History","3.99","1076","206011","653","1001293","Vintage"
"Crystal Lies","Melody Carlson","2004-10-19T03:00:00-04:00","Fiction:Religous, Young Adult","3.83","410","95365","238","593848","WaterBrook"
"Catwalk","Melody Carlson","2010-05-18T03:00:00-04:00","Fiction:Young Adult, Fiction:Religous, Adult, Contemporary, Religion, Young Adult","3.73","780","56113","207","639832","Zondervan"
"The Closing of the Western Mind: The Rise of Faith and the Fall of Reason","Charles Freeman","2002-08-28T03:00:00-04:00","Religion, History, Politics, Philosophy","4.06","2210","188861","580","2617089","Vintage Books"
"Robert Ludlum's the Lazarus Vendetta","Patrick Larkin","2004-10-19T03:00:00-04:00","Suspense, Fiction:Thriller, Mystery, Adventure, Thriller","4.01","7385","117446","332","420753","Orion"
"Shadow & Claw","Gene Wolfe","1994-10-15T03:00:00-04:00","Science, Classics, Science Fiction, Adult, Adventure, Fantasy, Fiction, General, Epic, Action, Fantasy Fiction","4.04","22626","195206","597","537989","Orb Books"
"The Shadow of the Torturer","Gene Wolfe","1980-05-01T03:00:00-04:00","Classics, Fantasy, Science Fiction, Fiction, Literary, General","3.84","35789","99352","314","236248","Simon & Schuster"
"Sword & Citadel","Gene Wolfe","1994-10-15T03:00:00-04:00","General, Action, Adventure, Historical, Science Fiction, Fiction, Fantasy, Epic, Fantasy Fiction","4.35","14439","195998","578","572734","Orb Books"
"The World in 2050: Four Forces Shaping Civilization's Northern Future","Laurence C. Smith","2010-09-01T03:00:00-04:00","History, Science, Politics","3.8","1056","121344","421","1575132","Dutton Adult"
"Deadwood","Pete Dexter","1986-01-01T03:00:00-05:00","Crime, Fiction, Literary, General, Historical","4.02","4440","148467","490","463384","Vintage"
"The Paperboy","Pete Dexter","1995-01-01T03:00:00-05:00","Crime, Fiction, Contemporary, Mystery, Historical, Thriller","3.62","3860","97272","350","426434","Delta"
"Killer of Men","Christian Cameron","2010-01-01T03:00:00-05:00","Fantasy, Historical, Fiction:Historical, Adventure, War","4.34","3510","169540","567","565836","Orion"
"Spadework for a Palace","László Krasznahorkai","2018-09-25T03:00:00-04:00","City Life, Fiction, Literary, Psychological, Thrillers, Contemporary","3.95","548","25893","68","1226087","New Directions"
"The Melancholy of Resistance","László Krasznahorkai","1989-01-01T03:00:00-05:00","Fiction, General, Literary, Small Town, Rural, Places, Europe, Classics, Horror, Contemporary","4.13","6078","127287","340","555042","New Directions"
"War & War","László Krasznahorkai","1999-01-01T03:00:00-05:00","Contemporary, Classics","4.11","2823","118082","360","749060","New Directions"
"Crooked Letter, Crooked Letter","Tom Franklin","2010-10-05T03:00:00-04:00","Fiction, Adult, Contemporary, Suspense, Crime, Thriller, Historical, Mystery","3.83","45710","89985","326","291425","HarperCollins"
"Autobiography of Mark Twain, Volume 1: The Complete and Authoritative Edition","Mark Twain","2010-11-15T03:00:00-05:00","History, Humour, Biography, Autobiography, Classics","3.8","8792","410439","1013","3076991","University of California Press"
"Adventures of Huckleberry Finn","Mark Twain","1885-01-01T03:00:00-05:00","Young Adult, Classics, Historical, Adventure, Fiction, Childrens","3.83","1339728","133622","398","409438","Simon & Schuster Paperbacks"
"Who Is Mark Twain?: Unpublished Personal Papers and Essays―Twenty-Six Works of Humor and Satire","Mark Twain","2009-04-21T03:00:00-04:00","Humour, Biography, Writing, Classics","3.67","477","50382","157","181485","Harper"
"The Prince and the Pauper","Mark Twain","1881-01-01T03:03:58-04:56:02","Classics, Historical, Fiction, Childrens, Adventure, Young Adult","3.87","122932","80691","257","2669574","Signet"
"The Adventures of Tom Sawyer","Mark Twain","1998-03-23T03:00:00-05:00","Classics, Adventure, Historical, Young Adult, Childrens","3.8","55","86228","288","455143","Delta Systems"
"Two Years Before the Mast: A Personal Narrative of Life at Sea","Richard Henry Dana Jr.","1840-09-01T02:56:56-04:56:02","Essays, Travelogues, Travel, General, Classics, Military, Adventure, Biography, History, Fiction","4.03","14609","210683","609","1411047","Barnes & Noble Classics"
"The Penguin Book of the Prose Poem: From Baudelaire to Anne Carson","Jeremy Noel-Tod","2018-11-29T03:00:00-05:00","Poetry, Classics, Anthologies","4.07","281","87684","281","1090338","Penguin"
"Creativity: Flow and the Psychology of Discovery And","Mihály Csíkszentmihályi","1996-01-01T03:00:00-05:00","Psychology, Self-Help, Personal Growth, General, Social Science, Science, Life Sciences, Business, Writing, Philosophy, Self Help, Art, Non-Fiction","4.07","5849","171636","475","534987","Harper Collins"
"Learning to Lose","David Trueba","2008-01-01T03:00:00-05:00","Contemporary, Fiction","3.79","1943","181317","519","515263","Other Press"
"A Brother's Price","Wen Spencer","2005-07-05T03:00:00-04:00","Science Fiction, Fantasy, Romance, Feminism, Adventure","3.95","2994","94979","343","304380","Penguin Group USA Inc"
"Tinker","Wen Spencer","2003-10-01T03:00:00-04:00","Science Fiction, Paranormal, Fantasy, Romance","4.08","5865","121659","449","343348","Baen"
"Wolf Who Rules","Wen Spencer","2006-04-01T03:00:00-05:00","Science Fiction, Fantasy, Romance","4.23","3390","118196","439","355943","Baen"
"Endless Blue","Wen Spencer","2007-12-01T03:00:00-05:00","Science-Fiction, Romance, Science Fiction, Fantasy","3.89","1279","122376","452","428999","Baen"
"American Lightning: Terror, Mystery, the Birth of Hollywood & the Crime of the Century","Howard Blum","2008-09-16T03:00:00-04:00","History, Crime, Biography, True Crime, Mystery","3.51","3079","88637","296","2543373","Broadway Books"
"Way Station","Clifford D. Simak","1963-06-01T04:00:00-04:00","Fiction, Science Fiction, Classics, Fantasy, General","4.03","28859","70510","239","411569","Orion"
"Perilous Fight: America's Intrepid War With Britain on the High Seas, 1812-1815","Stephen Budiansky","2010-12-23T03:00:00-05:00","History, War","4.0","282","168819","498","6896624","Knopf"
"The Decameron","Giovanni Boccaccio","1349-01-01T02:56:56-04:56:02","Classics, Historical, Fiction","3.88","43747","304279","817","843149","Penguin Books"
"The Giver","Lois Lowry","1993-04-26T03:00:00-04:00","Science Fiction, Childrens, Young Adult, Classics, Fantasy, Fiction:Young Adult","4.12","2690707","43695","179","150363","Ember"
"A Commonwealth of Thieves","Thomas Keneally","2005-01-01T03:00:00-05:00","Travel, History, Politics","3.68","1504","133712","419","723035","Anchor"
"The Best of Times","Penny Vincenzi","2009-01-01T03:00:00-05:00","Romance, Mystery, Contemporary, Historical, Adult","3.82","5092","186096","690","787819","Knopf Doubleday Publishing Group"
"She Who Remains","Rene Karabash","2018-01-01T03:00:00-05:00","England, World Literature, 999, Lgbtq+, General, Fiction","4.04","3139","25930","83","1125007","Sandorf Passage"
"The Mandala of Sherlock Holmes: The Missing Years","Jamyang Norbu","1999-01-01T03:00:00-05:00","Crime, Fantasy, Mystery, Adventure, Historical, Thriller","4.04","2121","83484","274","1197473","John Murray"
"After the Fire, a Still Small Voice","Evie Wyld","2009-09-01T03:00:00-04:00","Contemporary, War, Historical, Fiction","3.6","1536","94736","288","461294","Pantheon"
"Robert Ludlum's the Arctic Event","James H. Cobb","2007-09-26T03:00:00-04:00","Suspense, Fiction:Thriller, Mystery, Adventure, Thriller","4.07","6254","125889","334","371978","Orion"
"This Is a Book","Demetri Martin","2011-01-01T03:00:00-05:00","Non-fiction:Humor, Humour, Art, Adult","3.74","8981","44594","233","869991","Grand Central Publishing"
"Mansfield Park","Jane Austen","2009-08-15T03:00:00-04:00","Classics, Historical, Fiction, Adult","3.86","366689","173168","496","690564","Penguin Books"
"Persuasion","Jane Austen","2009-07-15T03:00:00-04:00","Classics, Historical, Fiction, Adult","4.15","740334","99223","301","454210","Oxford University Press"
"The Annotated Pride and Prejudice","Jane Austen","1813-01-28T02:56:56-04:56:02","Classics, Historical, Romance","4.3","4832150","230896","554","2246586","Scribe"
"Emma","Jane Austen","1815-12-23T02:56:56-04:56:02","Romance, Classics, Historical, Adult, Fiction","4.05","984716","195620","566","771106","Plain Label Books"
"Sense and Sensibility","Jane Austen","1811-10-30T03:03:58-04:56:02","General, Historical, Fiction, Adult, Romance, Classics","4.09","1250693","131578","404","716913","CreateSpace Independent Publishing Platform"
"Northanger Abbey","Jane Austen","2006-01-18T03:00:00-05:00","Classics, Historical, Fiction, Adult","3.85","430379","93789","294","506551","Icon Health"
"Pride and Prejudice","Jane Austen","2004-03-04T03:00:00-05:00","Classics, Historical, Adult, Fiction","4.29","4528056","137160","424","625744","Evans Brothers"
"The Miernik Dossier","Charles McCarry","1973-01-01T03:00:00-05:00","Suspense, Fiction:Thriller, Mystery, Historical, Thriller","3.88","2374","86843","243","269116","Overlook Hardcover"
"The Tears of Autumn","Charles McCarry","1974-12-01T03:00:00-05:00","Suspense, Crime, Fiction:Thriller, Mystery, Historical, Thriller","4.03","2512","88258","324","633490","Gerald Duckworth & Co. Ltd./The Overlook Press, Peter Mayer Publishers, Inc."
"The Sense of an Ending","Julian Barnes","2011-08-04T03:00:00-04:00","Philosophy, Contemporary, Fiction, Adult, Literary, bookclub, Coming of Age, Psychological, Classics, read_author, Mystery","3.74","194998","41998","135","1894079","Knopf Doubleday Publishing Group"
"Departure","Julian Barnes","2026-01-17T03:00:00-05:00","999, England, Family Life, Fiction, General, Literary, read_author, World Literature","4.08","3196","45904","139","682856","Knopf"
"Where Good Ideas Come From: The Natural History of Innovation","Steven Johnson","2010-10-01T03:00:00-04:00","History, Self-Help, Psychology, Self Help, Science, Business","3.99","15549","81247","300","488415","Riverhead Books"
"Homer's Odyssey","Gwen Cooper","2009-08-25T03:00:00-04:00","Non-Fiction, Classics, Biography, Adult","4.21","16033","88721","251","837330","Delacorte Press"
"Love Is the Best Medicine: What Two Dogs Taught One Veterinarian About Hope, Humility, and Everyday Miracles","Nick Trout","2010-03-02T03:00:00-05:00","Biography","4.06","1336","80031","262","590347","Broadway Books"
"First Family: Abigail and John Adams","Joseph J. Ellis","2010-10-26T03:00:00-04:00","Autobiography, History, Biography, Politics","4.04","7559","106114","327","364060","Knopf"
"Clans of the Alphane Moon","Philip K. Dick","1964-11-01T03:00:00-05:00","Science-Fiction, Psychology, Science Fiction, Fantasy, read_author","3.73","6366","68056","235","308637","Vintage"
"Now Wait for Last Year","Philip K. Dick","1966-03-01T03:00:00-05:00","Science-Fiction, Classics, Science Fiction, Fantasy, read_author","3.89","7874","74752","260","388615","Vintage"
"Do Androids Dream of Electric Sheep?","Philip K. Dick","1968-03-01T03:00:00-05:00","Philosophy, Science Fiction, Science, Adult, General, Fantasy, Thriller, bookclub, Science-Fiction, Language Arts, Disciplines, Classics, read_author, Mystery","4.09","521058","63795","224","323065","Ballantine Books"
"Selected Stories of Philip K. Dick","Philip K. Dick","1982-01-01T03:00:00-05:00","Essays, Fantasy, Fiction, Science Fiction, Collections, Anthologies, Apocalyptic, Post-Apocalyptic, Psychological, Time Travel, Literary Collections, General, Epic, Short Stories (Single Author), Dystopian, Classics, Hard Science Fiction, read_author","4.26","4186","169505","626","506996","Mariner Books Classics"
"The Crack in Space","Philip K. Dick","1966-02-01T03:00:00-05:00","Science-Fiction, Politics, Science Fiction, Fantasy, read_author","3.49","3674","60064","212","218127","Vintage"
"Counter-Clock World","Philip K. Dick","1967-02-01T03:00:00-05:00","Science-Fiction, Religion, Science Fiction, Fantasy, read_author","3.55","5209","64409","230","232900","Vintage"
"In Milton Lumky Territory","Philip K. Dick","1985-06-01T03:00:00-04:00","Science-Fiction, Contemporary, Historical, Science Fiction, read_author","3.44","892","78894","279","309013","Orion Publishing Co"
"The Divine Invasion","Philip K. Dick","1981-06-01T03:00:00-04:00","Fantasy, Science Fiction, Science-Fiction, Philosophy, Religion, read_author","3.82","9628","72493","255","248393","Vintage"
"Paycheck","Philip K. Dick","1953-06-01T03:00:00-04:00","Science Fiction, Fantasy, Mystery, Science-Fiction, Classics, Thriller, read_author","3.66","2499","95809","365","344760","Gollancz Paperbacks"
"The Three Stigmata of Palmer Eldritch","Philip K. Dick","1965-01-01T03:00:00-05:00","Science Fiction, Fantasy, Classics, read_author","4.01","43649","71046","251","258384","Gollancz"
"Solar Lottery","Philip K. Dick","1955-05-01T03:00:00-04:00","Science Fiction, Fantasy, Science-Fiction, Classics, Adventure, read_author","3.5","5316","55852","213","263891","Vintage"
"The Minority Report","Philip K. Dick","1987-05-01T03:00:00-04:00","Crime, Science Fiction, Fantasy, Anthologies, Science-Fiction, Classics, read_author","4.11","14754","13778","40","1645184","Citadel"
"Deus Irae","Philip K. Dick & Roger Zelazny","1976-08-01T03:00:00-04:00","Science-Fiction, Religion, Science Fiction, Fantasy, read_author","3.45","3627","63093","227","292305","Collier Nucleus"
"The Collected Stories of Philip K. Dick 3: Second Variety","Philip K. Dick","1987-05-01T03:00:00-04:00","Science Fiction, Fantasy, Anthologies, Science-Fiction, Classics, read_author","4.22","4869","15034","64","81184","Citadel Press"
"The Game-Players of Titan","Philip K. Dick","1963-12-01T03:00:00-05:00","Science-Fiction, Science Fiction, Fantasy, read_author","3.65","5076","62057","238","290102","Vintage"
"Valis","Philip K. Dick","1981-02-01T03:00:00-05:00","Visionary, Metaphysical, Fantasy, Fiction, Science Fiction, American, Literary, Psychological, Women, Literary Collections, General, Philosophy, Religion, Humorous, Paranormal, Historical, Hard Science Fiction, read_author","3.91","32943","80736","280","366242","Mariner Books"
"A Maze of Death","Philip K. Dick","1970-07-01T03:00:00-04:00","Fantasy, Science Fiction, Mystery, Science-Fiction, Philosophy, Religion, read_author","3.82","10385","58370","212","453224","Vintage"
"I Hope I Shall Arrive Soon","Philip K. Dick","1985-07-01T03:00:00-04:00","Science Fiction, Fantasy, Anthologies, Science-Fiction, Adventure, Thriller, read_author","3.9","913","6764","23","30682","Doubleday"
"Galactic Pot-Healer","Philip K. Dick","1969-06-01T03:00:00-04:00","Science-Fiction, Fantasy, Science Fiction, Classics, read_author","3.61","5677","51665","184","419990","Gollancz"
"Flow My Tears, the Policeman Said","Philip K. Dick","1974-02-01T03:00:00-04:00","Suspense, Fantasy, Fiction, Science Fiction, Action, Adventure, Literary, Psychological, Thrillers, Women, General, Dystopian, Classics, Hard Science Fiction, read_author","3.91","46061","68175","249","335374","Mariner Books"
"We Can Build You","Philip K. Dick","1972-07-01T03:00:00-04:00","Science-Fiction, Science Fiction, Fantasy, read_author","3.53","4521","75660","273","445890","Vintage"
"Ubik","Philip K. Dick","1969-05-01T03:00:00-04:00","Science Fiction, Fantasy, Mystery, Science-Fiction, Classics, read_author","4.11","123682","66816","234","235347","Vintage"
"The Eyes Have It by Philip K. Dick, Science Fiction, Fantasy, Adventure","Philip K. Dick","1953-06-01T03:00:00-04:00","Horror, Science Fiction, Fantasy, Humour, Science-Fiction, Classics, read_author","3.56","2218","1196","4","74827","Aegypan"
"The Zap Gun","Philip K. Dick","1967-01-01T03:00:00-05:00","Science-Fiction, Science Fiction, Fantasy, read_author","3.42","2788","58521","223","296351","Vintage"
"A Scanner Darkly","Philip K. Dick","1977-01-01T03:00:00-05:00","Science Fiction, Classics, Fantasy, Thriller, Crime, Science, Psychology, Adult, read_author","4.03","106852","85803","301","359062","Gollancz"
"Time Out of Joint","Philip K. Dick","2012-10-23T03:00:00-04:00","Science Fiction, Fantasy, Classics, read_author","3.87","16934","66824","255","298076","Science Fiction Book Club"
"Confessions of a Crap Artist","Philip K. Dick","1975-01-01T03:00:00-05:00","Science-Fiction, Science Fiction, Fantasy, read_author","3.69","5288","82022","267","241777","Vintage"
"Our Friends From Frolix 8","Philip K. Dick","1970-06-01T03:00:00-04:00","Science-Fiction, Science Fiction, Fantasy, read_author","3.58","3622","70392","258","315517","Vintage"
"Dr. Futurity","Philip K. Dick","1960-02-01T03:00:00-05:00","Science-Fiction, Fantasy, Science Fiction, read_author","3.51","3292","46800","174","186649","Vintage"
"A Storm of Swords","George R. R. Martin","2000-08-08T03:00:00-04:00","Adult, Science Fiction, Adventure, Fantasy","4.55","848735","422710","1337","2083221","Bantam"
"Songs of Love and Death: All-Original Tales of Star-Crossed Love","George R. R. Martin","2010-11-16T03:00:00-05:00","Science Fiction, Fantasy, Anthologies, Romance, Paranormal, Historical","3.77","4251","175206","607","4041678","Gallery Books"
"A Wild Cards Collection: Books I-V","George R. R. Martin","2017-01-10T03:00:00-05:00","Science Fiction, Fantasy","4.16","31","135963","493","1057819","Tor Books"
"Hunter's Run","George R. R. Martin & Gardner Dozois & Daniel Abraham","2007-09-03T03:00:00-04:00","Science Fiction, Fantasy, Science-Fiction, Adventure, Thriller","3.7","3758","97920","339","459833","Harper Voyager"
"Deuces Down","George R. R. Martin & Stephen Leigh & John J. Miller","2002-01-01T03:00:00-05:00","Anthologies, Science Fiction, Horror, Fantasy","3.68","666","104803","370","638977","I Books"
"Warriors","George R. R. Martin","2010-03-16T03:00:00-04:00","Science Fiction, Fantasy, Anthologies, Contemporary, Mystery, Historical","3.84","3914","36672","118","160994","Tor Books"
