title,authors,pubdate,tags,#grrating,#grvotes,#wordcount,#pagecount,size,publisher
"North of Beautiful","Justina Chen","2009-02-01T03:00:00-05:00","Romance, Contemporary, Young Adult, Fiction:Young Adult","3.92","35820","105125","371","351963","Little, Brown Books for Young Readers"
"How the Soldier Repairs the Gramophone","Saša Stanišić","2006-01-01T03:00:00-05:00","Contemporary, War, Historical, Fiction:Historical","3.99","2874","95441","290","326754","Grove Press"
"Driving Over Lemons: An Optimist in Spain","Chris Stewart","1999-01-01T03:00:00-05:00","Travel, Europe, Personal Memoirs, Essays, Travelogues, Biography, Autobiography","3.84","17793","75527","245","1846959","Vintage"
"First They Killed My Father: A Daughter of Cambodia Remembers","Loung Ung","2000-01-26T03:00:00-05:00","Autobiography, History, Biography, War","4.36","54517","101695","290","1217553","Harper Perennial"
"Stoner","John Williams","1965-04-23T03:00:00-05:00","Fiction, Adult, bookclub, Classics, read_author, Contemporary, Historical","4.35","265501","90194","284","399388","Random House"
"Bicycle Diaries","David Byrne","2008-01-01T03:00:00-05:00","Travel, Sports, Recreation, Essays, Travelogues","3.51","6922","80673","242","5274755","Viking"
"Our Last Best Chance: The Pursuit of Peace in a Time of Peril","Abdullah Ii Of Jordan","2011-02-22T03:00:00-05:00","History, Biography, Politics","4.05","939","120432","394","327763","Viking Adult"
"The Cold Dish","Craig Johnson","2004-12-29T03:00:00-05:00","Mystery, Suspense, Crime, Thriller","4.12","46382","125896","422","381925","Viking Adult"
"Dead Water","Barbara Hambly","2004-08-03T03:00:00-04:00","Crime, Fantasy, Mystery, Fiction:Historical, Historical","4.15","803","99584","326","585255","Bantam Books"
"A Free Man of Color","Barbara Hambly","1997-01-01T03:00:00-05:00","Mystery, Mystery:Historical, Crime, Historical","3.98","3586","110009","361","535081","Bantam"
"Engineering Infinity","Jonathan Strahan","2010-12-28T03:00:00-05:00","Short Stories, Science Fiction, Fantasy, Anthologies, Science-Fiction","3.65","1375","100087","361","312740","Solaris"
"Buzz Off","Hannah Reed","2010-07-29T03:00:00-04:00","Mystery, Suspense, Contemporary, Romance","3.79","1696","81123","295","673271","Berkley"
"The Ruin","Richard Lee Byers","2006-05-09T03:00:00-04:00","Science Fiction, Adventure, Fantasy","4.07","974","107320","377","1159931","Wizards of the Coast"
"Unholy","Richard Lee Byers","2009-02-03T03:00:00-05:00","Horror, Adventure, Fantasy","4.12","1023","103087","361","734101","Wizards of the Coast"
"Alone Together: Why We Expect More From Technology and Less From Each Other","Sherry Turkle","2011-01-11T03:00:00-05:00","Sociology, Psychology, Science, Philosophy","3.62","6454","160879","495","560150","Basic Books"
"Unclean","Richard Lee Byers","2007-04-10T03:00:00-04:00","Horror, Adventure, Fantasy","3.98","1456","104018","358","738276","Wizards of the Coast"
"Undead","Richard Lee Byers","2008-03-04T03:00:00-05:00","Horror, Adventure, Fantasy","4.07","1306","101674","360","667560","Wizards of the Coast"
"The First Tycoon: The Epic Life of Cornelius Vanderbilt","T. J. Stiles","2009-04-21T03:00:00-04:00","Autobiography, History, Biography, Business","3.91","9033","337792","843","8481671","Vintage"
