authors,title,#grscore,#votes,#pagecount,#wordcount
"Vernor Vinge","Rainbows End","3.77","18703","351","132642"
"Robert Charles Wilson","Spin","4.04","42938","542","146663"
"Robert J. Sawyer","Hominids","3.8","13631","382","96820"
"Joe Haldeman","Forever Peace","3.75","22243","389","105351"
"Kim Stanley Robinson","Blue Mars","3.95","32350","824","266099"
"Kim Stanley Robinson","Green Mars","3.95","39837","746","236989"
"C. J. Cherryh","Cyteen","4.0","10451","1167","331735"
"Orson Scott Card","The Ender Quintet: Ender's Game, Speaker for the Dead, Xenocide, Children of the Mind, and Ender in Exile","4.47","1932","482","136111"
"Orson Scott Card","Ender's Game","4.31","1432198","384","106405"
"William Gibson","Neuromancer","3.89","347195","266","78875"
"Isaac Asimov","Foundation's Edge","4.18","94662","519","136500"
"C. J. Cherryh","Downbelow Station","3.9","16052","538","164818"
"Joan D. Vinge","The Snow Queen","3.95","13004","613","184739"
"Arthur C. Clarke","The Fountains of Paradise","3.95","31051","355","77571"
"Vonda N. McIntyre","Dreamsnake","3.87","10940","364","97925"
"Frederik Pohl","Gateway","4.06","46381","220","83465"
"Kate Wilhelm","Where Late the Sweet Birds Sang","3.84","10697","278","76402"
"Ursula K. le Guin","The Dispossessed","4.25","138050","394","116390"
"Philip José Farmer","Riverworld: To Your Scattered Bodies Go/The Fabulous Riverboat","3.85","1649","249","76555"
"Ursula K. le Guin","The Left Hand of Darkness","4.1","202211","265","88134"
"John Brunner","Stand on Zanzibar","3.94","17002","717","193995"
"Roger Zelazny","Lord of Light","4.06","34472","51","12425"
"Robert A. Heinlein","The Moon Is a Harsh Mistress","4.15","135417","418","119396"
"Roger Zelazny","This Immortal","3.9","12263","223","56429"
"Fritz Leiber","The Wanderer","3.38","3180","448","121005"
"Clifford D. Simak","Way Station","4.03","28859","239","70551"
"Philip K. Dick","The Man in the High Castle","3.59","225094","568","79436"
"Vernor Vinge","A Deepness in the Sky","4.32","34340","870","264911"
"Walter M. Miller Jr.","A Canticle for Leibowitz","3.99","114817","374","105337"
"Robert A. Heinlein","Double Star","3.91","23868","191","54621"
"Susanna Clarke","Jonathan Strange & Mr Norrell","3.87","246152","1137","332120"
"Henry James","The Turn of the Screw","3.39","169046","92","45944"
"Henry James","Washington Square","3.7","24572","240","67375"
"Benjamín Labatut","When We Cease to Understand the World","4.13","50489","145","48905"
"Shirley Hazzard","The Transit of Venus","4.01","4703","418","118473"
"Mieko Kawakami","Breasts and Eggs","3.86","69124","442","138473"
"Samantha Harvey","Orbital","3.63","57835","130","43110"
"Tabitha Lasley","Sea State: A Memoir","3.22","1976","222","63993"
"Norman Rush","Mating","3.83","4923","580","204246"
"Edith Wharton & Jeffrey Meyers","The House of Mirth","3.97","101743","406","146749"
"Rachel Ingalls","Mrs Caliban and Other Stories","4.03","75","526","140944"
"Evan S. Connell","Mrs. Bridge","4.07","7390","220","67184"
"Elizabeth Taylor","Mrs Palfrey at the Claremont","4.0","10692","186","52116"
"Gustave Flaubert","Madame Bovary","3.7","353904","334","119066"
"William Gaddis","The Recognitions","4.2","6031","1441","424513"
