authors,title,#grscore,#votes,#pagecount,#wordcount
"Dan Ariely","The Upside Of Irrationality","4.03","35672","297","94013"
"Robert Anton Wilson","Schrödinger's Cat Trilogy","4.08","4850","461","135155"
"Julie Orringer","The Invisible Bridge","4.18","53560","1413","253263"
"Julia Gregson","East of the Sun","3.71","8417","600","176098"
"Neil Strauss","The Game","3.73","31893","507","146806"
"Erik Larson","The Devil in the White City","4.0","729151","493","138541"
"Michael Capuzzo & Mike Capuzzo","The Murder Room: The Heirs of Sherlock Holmes Gather to Solve the World's Most Perplexing Cold Cases","3.63","4648","462","139269"
"S. J. Bolton & Sharon Bolton","Blood Harvest","3.98","6947","451","128010"
"Jonathan L. Howard","Johannes Cabal the Necromancer","3.93","21410","335","101140"
"Steven Gould","Reflex","3.99","7243","450","121387"
"Harriet Beecher Stowe","Uncle Tom's Cabin by Harriet Beecher Stowe, Fiction, Classics","3.91","237360","644","199269"
"Henry James","The Wings of the Dove","3.79","17307","617","210567"
"John Vaillant","The Tiger: A True Story of Vengeance and Survival","4.07","18090","332","114068"
"Henry James","Daisy Miller and Washington Square","3.86","8343","334","99753"
"Tom Knox","The Genesis Secret","3.58","4548","393","109351"
"Tilly Bagshawe & Sidney Sheldon","Mistress of the Game","3.81","13718","437","110377"
"Sidney Sheldon","Rage of Angels","3.97","40028","500","129976"
"Michel Faber","The Crimson Petal and the White","3.89","44464","1057","319887"
"Chris Bohjalian","The Double Bind","3.64","30143","349","103098"
"Daryl Gregory","Pandemonium","3.81","3320","346","95655"
"Jenny Nimmo","Charlie Bone & the Time Twister","3.91","24543","256","64120"
"Gene Wolfe","Shadow & Claw","4.04","21457","597","195206"
"Gene Wolfe","Sword & Citadel","4.35","13833","578","195998"
"Margaret Mitchell","Gone With the Wind","4.31","1250746","1344","421651"
"Cherie Priest","Dreadnought","3.87","8042","423","123700"
"Cherie Priest","Clementine","3.71","4231","194","56336"
"David Liss","The Devil’s Company","3.96","3583","470","146421"
"David Liss","A Conspiracy of Paper","3.87","11579","557","179959"
"Richard Kadrey","Sandman Slim","3.94","36858","361","103626"
"Marc Weissbluth","Healthy Sleep Habits, Happy Child","3.9","11493","392","160150"
"Joseph Conrad & Peter Mallios & Robert D. Kaplan","The Secret Agent: A Simple Tale","3.58","23945","289","91177"
"Joseph Conrad","Under Western Eyes","3.69","3404","366","113320"
"Glenn Cooper","The Tenth Chamber","3.74","5284","353","99156"
"Glenn Cooper","Secret of the Seventh Son","3.78","16942","423","116183"
"Richard Adams","Shardik","3.51","4470","693","225166"
"Steven D. Levitt & Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything","4.01","879487","278","95748"
"Richard Adams","Tales From Watership Down","3.83","9254","554","163774"
"Edward Gibbon & John Bagnell Bury","The History of the Decline and Fall of the Roman Empire, Volume 1","4.17","3359","555","193666"
"Tami Hoag","Secrets to the Grave","4.11","25971","550","137714"
"Sebastian Junger","War","4.25","23562","235","79822"
"Pam Jenoff","The Kommandant's Girl","4.02","30419","354","115415"
"Jon Stewart","Naked Pictures of Famous People","3.58","10005","93","29233"
"Malcolm Gladwell","What the Dog Saw and Other Adventures","3.85","103446","343","118832"
"Malcolm Gladwell","The Tipping Point: How Little Things Can Make a Big Difference","4.01","838155","238","83588"
"Malcolm Gladwell & Barry Fox","Blink: The Power of Thinking Without Thinking","3.96","610620","221","73997"
"Louis Sachar","The Cardturner","3.84","10673","269","67629"
"Elizabeth Berg","The Art of Mending","3.66","13214","207","59107"
"Elizabeth Berg","We Are All Welcome Here","3.91","12289","209","60945"
"Elizabeth Berg","Home Safe","3.53","13017","233","71905"
"Elizabeth Berg","The Pull of the Moon","3.8","10533","120","47431"
"Helene Tursten","Detective Inspector Huss","3.67","5420","519","151045"
"Norman Ollestad","Crazy for the Storm","3.65","6381","262","73292"
"G. J. Meyer","The Tudors: The Complete Story of England's Most Notorious Dynasty","4.01","9037","669","230441"
"Yann Martel","Life of Pi","3.94","1706777","300","103596"
"Clive Barker","The Fifth Dominion","4.26","10868","1254","355026"
"Clive Barker","The Hellbound Heart","4.08","63797","110","29582"
"Ann Rule","In the Still of the Night: The Strange Death of Ronda Reynolds and Her Mother's Unceasing Quest for the Truth","3.79","4606","353","109781"
"Richard Henry Dana Jr.","Two Years Before the Mast","4.02","14314","609","210683"
"Lloyd Alexander","The Book of Three","3.98","81480","164","47552"
"Lloyd Alexander","The High King","4.24","55668","218","66583"
"Lloyd Alexander","Taran Wanderer","4.14","42695","190","57694"
"Lloyd Alexander","The Castle of Llyr","4.07","38998","146","43569"
"Lloyd Alexander","The Black Cauldron","4.12","65892","167","47935"
"John Irving","Last Night in Twisted River","3.78","27550","668","205449"
"Nassim Nicholas Taleb","The Black Swan: The Impact of the Highly Improbable","3.96","118003","444","174855"
"Robert Shea & Robert Anton Wilson","The Illuminatus! Trilogy","4.01","15973","871","282696"
"Laura Bush","Spoken From the Heart","4.0","8149","979","183014"
"Charlie Huston","Already Dead","3.8","10491","187","78351"
"Charlie Huston","Half the Blood of Brooklyn","3.95","4461","159","66944"
"Charlie Huston","Every Last Drop","3.99","4006","166","69428"
"Charlie Huston","My Dead Body","4.07","3530","199","83348"
"Charlie Huston","No Dominion","3.99","5519","172","72103"
"Frederick Forsyth","The Cobra","3.8","10913","330","98321"
"Tad Williams","Shadowheart","4.04","6152","933","291244"
"Edward De Bono","Lateral Thinking","3.76","4619","249","70638"
"Daniel Okrent","Last Call: The Rise and Fall of Prohibition","3.88","8372","710","202485"
"Sarah Addison Allen","The Girl Who Chased the Moon","3.97","62726","231","65650"
"Sigrid Undset","Kristin Lavransdatter","4.31","13542","1374","447386"
"George Bernard Shaw","Pygmalion and Three Other Plays","4.03","18159","726","212780"
"Salman Rushdie","The Satanic Verses","3.71","69390","579","191304"
"Joanne Harris","Runemarks","3.74","8875","481","131706"
"Salman Rushdie","Luka and the Fire of Life","3.64","7280","187","62432"
"Pat Conroy","South of Broad","3.86","49667","629","186020"
"Graham Bowley","No Way Down: Life and Death on K2","3.98","7370","274","82645"
"Michael Cunningham","A Home at the End of the World","3.95","21305","403","116974"
"Michael Cunningham","Flesh and Blood","4.05","6275","486","136016"
"Gary Paulsen","Brian's Hunt","4.04","13729","73","23105"
"Gary Paulsen","Brian's Winter","4.05","33796","103","33023"
"Gary Paulsen","Woods Runner","3.85","9111","104","33662"
"Gary Paulsen","The River","3.82","31121","109","28977"
"Gary Paulsen","Brian's Return","3.97","18485","86","25952"
"Gary Paulsen","Hatchet","3.79","432531","131","43481"
"Guillermo del Toro & Chuck Hogan","The Strain","3.8","88893","462","126969"
"Richard Matheson","What Dreams May Come","3.96","14510","192","76091"
"Richard Matheson","Hell House","3.71","58332","316","82630"
"Richard Matheson","The Incredible Shrinking Man","3.78","8901","236","70901"
"Richard Matheson","A Stir of Echoes","3.86","14751","206","52810"
"Sarah Silverman","The Bedwetter: Stories of Courage, Redemption, and Pee","3.53","40056","340","58610"
"Marina Fiorato","The Botticelli Secret","3.89","6114","524","161947"
"Kate Furnivall","Under a Blood Red Sky","3.79","5391","569","153041"
"Kate Furnivall","The Russian Concubine","3.76","10006","647","177525"
"Devon Monk","Magic in the Shadows","4.03","6955","470","122187"
"Greg Bear","Blood Music","3.85","16283","308","79230"
"Devon Monk","Magic on the Storm","4.06","6444","401","104869"
"Greg Bear","Anvil of Stars","3.92","6858","623","154369"
"David Remnick","The Bridge: The Life and Rise of Barack Obama","4.1","4643","771","265742"
"Matthew Pearl","The Last Dickens","3.57","7182","417","122876"
"Scott Patterson","The Quants","3.89","9196","372","114750"
"Kristin Hannah","On Mystic Lake","3.93","81808","406","115609"
"Kristin Hannah","Winter Garden","4.28","363042","466","128483"
"Charles Todd","The Red Door","4.01","6341","386","105167"
"Charles Todd","An Impartial Witness","3.9","11522","367","105610"
"Charles Todd","A Duty to the Dead","3.92","20261","363","104404"
"Sara Shepard","Unbelievable","3.99","65961","190","72433"
"Seanan McGuire","A Local Habitation","3.9","20588","413","110561"
"Seanan McGuire","Rosemary and Rue","3.78","39440","348","105786"
"Seanan McGuire","An Artificial Night","4.18","20752","406","116962"
"Peter V. Brett","The Great Bazaar and Other Stories","3.95","5811","77","21589"
"Peter V. Brett","The Painted Man","4.25","128466","533","160943"
"Peter V. Brett","The Desert Spear","4.21","89709","837","234743"
"Sam Wasson","Fifth Avenue, 5 A.M.: Audrey Hepburn, Breakfast at Tiffany's, and the Dawn of the Modern Woman","3.7","7429","194","64435"
"Ted Chiang","Ted Chiang Compilation","","","479","140443"
"Gary Gibson","Stealing Light","3.74","3429","491","132203"
"Bret Easton Ellis","Glamorama","3.55","24849","729","180234"
"Bret Easton Ellis","American Psycho","3.81","342777","512","143874"
"F. Scott Fitzgerald","The Curious Case of Benjamin Button and Other Jazz Age Stories","3.54","4837","32","9386"
"Warren Fahy","Fragment","3.69","5420","416","103064"
"Raymond Khoury","The Last Templar","3.62","45401","492","141945"
"Alan Furst","Dark Star","4.13","6162","498","158937"
"John Burdett","Bangkok 8","3.75","10915","371","119712"
"J. P. Donleavy","The Ginger Man","3.61","11001","382","104730"
"Jack London","Martin Eden","4.48","49641","426","140618"
"Jack London","The Call of the Wild and White Fang","4.12","78365","345","116281"
"Brad Thor","The Athena Project","3.88","13228","315","82078"
"Brad Thor","The Apostle","4.16","20578","399","107168"
"Charles Darwin","The Origin of Species","4.01","119210","655","209548"
"Louisa May Alcott","Little Women","4.16","2358424","622","205669"
"Vernor Vinge","A fire upon the deep","4.14","64393","1137","281919"
"Malcolm Gladwell","Outliers: The Story of Success","4.19","834583","220","76351"
"Virginia Woolf & Julia Briggs","Night and Day","3.76","9802","584","183798"
"Virginia Woolf","The Voyage Out","3.75","11836","482","152546"
"Frederick Forsyth","The Day of the Jackal","4.27","140476","437","134405"
"James Joyce","Dubliners","3.84","166766","171","67589"
"W. E. B. Griffin","Retreat, Hell!","4.39","4499","705","175698"
"W. E. B. Griffin","The Hostage","4.11","9751","735","174642"
"F. Scott Fitzgerald","The Beautiful and Damned","3.73","62521","486","141551"
"F. Scott Fitzgerald","This Side of Paradise","3.64","77726","332","97414"
"F. Scott Fitzgerald","The Great Gatsby","3.93","5614901","112","48571"
"Gaston Leroux","The Phantom of the Opera","3.96","263719","326","99074"
"Richard Laymon","Come Out Tonight","3.79","3286","527","106628"
"Richard Laymon","After Midnight","3.85","3817","521","118691"
"Daniel Defoe","Moll Flanders","3.51","47784","434","153056"
"Daniel Defoe","The Further Adventures of Robinson Crusoe","3.86","6334","263","100816"
"Nathaniel Philbrick","The Last Stand: Custer, Sitting Bull and the Battle of the Little Big Horn","4.04","11769","616","185362"
"Michael Scott","The Alchemyst","3.86","164677","303","87494"
"Michael Scott","The Magician","4.1","99720","374","105056"
"Michael Scott","The Necromancer","4.13","69182","312","83384"
"Michael Scott","The Sorceress","4.12","86199","383","108876"
"D. H. Lawrence","Women in Love","3.66","32956","738","206199"
"D. H. Lawrence","Lady Chatterley's Lover","3.5","132850","469","134892"
"D. H. Lawrence","Sons and Lovers","3.64","54769","672","177386"
"Jacob Grimm & Wilhelm Grimm","Grimm's Fairy Tales","4.23","217794","611","223102"
"Laura Moriarty","The Center of Everything","3.68","10413","388","120358"
"Margaret George","Helen of Troy","3.95","11897","911","266462"
"Elizabeth Gilbert","Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia","3.64","1807197","406","132109"
"Cathy Marie Buchanan","The Day the Falls Stood Still","3.71","5775","325","102765"
"Leonardo Da Vinci, & Irma A. Richter","Notebooks","4.0","51165","458","132934"
"Kylie Chan","White Tiger","3.87","4619","613","150377"
"Elizabeth Gaskell","The Life of Charlotte Brontë","3.85","8858","600","206015"
"Elizabeth Gaskell & Elizabeth Cleghorn Gaskell","Wives and Daughters","4.13","49733","896","297023"
"Philippa Gregory","The Red Queen","3.82","76249","343","116645"
"Philippa Gregory","The White Queen","3.96","179697","432","149315"
"Justin Cronin","The Summer Guest","4.02","7110","422","132837"
"Justin Cronin","Mary and O'Neil","3.91","3375","254","81353"
"Margaret Atwood","The Penelopiad","3.71","81240","83","31640"
"Victor Hugo","Les Misérables","4.21","826103","1230","349079"
"Victor Hugo","The Hunchback of Notre Dame","4.02","210796","647","194785"
"Michael Dobbs","One Minute to Midnight: Kennedy, Khrushchev and Castro on the Brink of Nuclear War","4.25","4332","552","164278"
"Michael Moorcock","The Sailor on the Seas of Fate","3.92","12400","179","48794"
"Michael Moorcock","The Vanishing Tower","3.97","9639","178","47465"
"Michael Moorcock","The Bane of the Black Sword","4.02","7937","165","45156"
"Michael Moorcock","The Weird of the White Wolf","3.94","10868","129","39220"
"Michael Moorcock","Stormbringer","4.18","10163","243","70593"
"Dan Abnett","First and Only","4.22","9982","346","95668"
"Richard K. Morgan","Broken Angels","3.93","38144","566","149169"
"Richard K. Morgan","Woken Furies","4.01","31627","679","181169"
"Richard K. Morgan","Altered Carbon","4.04","111612","568","158539"
"Chris Stewart","Driving Over Lemons: An Optimist in Spain","3.84","17793","245","75527"
"Robert Alexander","The Kitchen Boy","3.92","15557","245","76840"
"Arthur C. Clarke","2010 Odyssey Two","3.95","59527","279","77833"
"Arthur C. Clarke","2061: Odyssey Three","3.62","32611","217","60102"
"Arthur C. Clarke","3001: The Final Odyssey","3.59","27424","206","57830"
"Karin Fossum","He Who Fears the Wolf","3.75","6699","207","82465"
"Karin Fossum","Don't Look Back","3.78","11513","221","87694"
"Karin Fossum","When the Devil Holds the Candle","3.72","6204","298","81261"
"Karin Fossum","The Water's Edge","3.75","4478","169","65379"
"Karin Fossum","Black Seconds","3.83","5965","301","83929"
"Karin Fossum","Calling Out for You","3.79","7669","226","89451"
"Howard Zinn","A People's History of the United States","4.08","256402","748","265072"
"Jefferson Bass","Flesh and Bone","4.06","10850","342","104896"
"Umberto Eco","Foucault's pendulum","3.91","72947","704","214162"
"Melissa Marr","Wicked Lovely","3.7","165419","295","77343"
"Martin Cruz Smith","December 6","3.84","3662","388","108504"
"Martin Cruz Smith","Three Stations","3.78","5540","248","61094"
"Michelle Moran","Nefertiti","4.09","40201","516","133655"
"Michelle Moran","Cleopatra's Daughter","4.12","30359","476","121652"
"Michelle Moran","The Heretic Queen","4.21","26155","397","111145"
"Ralph Waldo Emerson","The Essential Writings of Ralph Waldo Emerson","4.37","3864","875","336588"
"Ralph Waldo Emerson","Essays and Poems","4.01","13494","674","227219"
"Jack McDevitt","Eternity Road","3.79","4874","409","107984"
"Cormac McCarthy","The Crossing","4.16","44258","355","150053"
"Cormac McCarthy","Blood Meridian","4.16","196452","376","116564"
"Sean Carroll & Sean M. Carroll","From Eternity to Here: The Quest for the Ultimate Theory of Time","4.06","6690","634","187812"
"Stieg Larsson","The Girl Who Kicked the Hornet's Nest","4.24","758959","783","208274"
"Steve Berry","The Charlemagne Pursuit","3.93","22281","551","134153"
"Harold McGee","On Food and Cooking: The Science and Lore of the Kitchen","4.46","15991","1220","430374"
"Nicholas D. Kristof & Sheryl WuDunn","Half the Sky: Turning Oppression Into Opportunity for Women Worldwide","4.28","55258","267","104583"
"Jonathan Maberry","Patient Zero","4.0","30634","501","140801"
"Jonathan Maberry","Rot & Ruin","4.1","36410","405","111902"
"Jonathan Maberry","The Dragon Factory","4.16","10829","438","160982"
"Darren Shan","Blood Beast","4.13","12538","192","54559"
"Darren Shan","Demon Apocalypse","4.26","11820","177","51612"
"Darren Shan","Cirque Du Freak","4.08","62458","179","50441"
"Darren Shan","Lord Loss","4.25","24525","210","57781"
"Darren Shan","Death's Shadow","4.19","10822","179","51141"
"Darren Shan","The Vampire's Assistant","4.13","46218","162","43137"
"Darren Shan","Slawter","4.17","15547","205","57860"
"Guy Gavriel Kay","The Wandering Fire","4.11","18606","343","102065"
"Guy Gavriel Kay","The Darkest Road","4.2","18479","493","154538"
"Guy Gavriel Kay","The Summer Tree","3.96","25838","398","117657"
"Stephen R. Donaldson","Against All Things Ending","3.91","4563","997","277874"
"Stephen R. Donaldson","The Gap Into Ruin: This Day All Gods Die","4.24","6293","863","238027"
"Scott Westerfeld","Blue Noon","3.86","17202","348","86692"
"Scott Westerfeld","Touching Darkness","3.9","19914","298","74085"
"Bill Simmons","The Book of Basketball: The NBA According to the Sports Guy","4.2","37171","676","281989"
"Brandon Mull","Fablehaven","4.14","173169","493","75887"
"Brandon Mull","Grip of the Shadow Plague","4.3","96550","420","110470"
"Brandon Mull","Rise of the Evening Star","4.18","131727","408","101627"
"Brandon Mull & Brandon Dorman","Keys to the Demon Prison","4.46","86820","567","138985"
"Brandon Mull","Secrets of the Dragon Sanctuary","4.39","93061","470","124026"
"Chuck Klosterman","Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto","3.74","72082","255","82223"
"Josh Lieb","I Am a Genius of Unspeakable Evil and I Want to Be Your Class President","3.63","4439","191","50017"
"Chuck Klosterman","Eating the Dinosaur","3.77","16172","208","70433"
"Tim Weiner","Legacy of Ashes: The History of the CIA","3.95","14275","634","251901"
"Ben Kane","The Silver Eagle","4.15","3939","552","148548"
"Ben Kane","The Road to Rome","4.15","3884","547","157264"
"Ben Kane","The Forgotten Legion","4.07","6642","392","144470"
"Holly Black","The Poison Eaters and Other Stories","3.79","6131","202","54378"
"Holly Black & Cecil Castellucci","Geektastic: Stories From the Nerd Herd","3.69","9266","390","109695"
"Lalita Tademy","Cane River","4.08","49862","415","125525"
"Joe Abercrombie","Before They Are Hanged","4.36","196976","668","196956"
"Joe Abercrombie","Last Argument of Kings","4.35","181780","783","232299"
"George Orwell","Animal Farm","4.0","4259711","102","36126"
"Douglas Adams","Mostly Harmless","3.96","135718","168","64360"
"Douglas Adams","Long Dark Tea-Time of the Soul","4.04","88203","243","78174"
"Douglas Adams","Dirk Gently's Holistic Detective Agency","3.97","145445","202","73277"
"R. A. Salvatore","Gauntlgrym","4.22","11859","448","120667"
"Edward M. Kennedy","True Compass: A Memoir","4.01","12469","545","177477"
"Hunter S. Thompson","The Rum Diary","3.85","64076","235","68323"
"Hunter S. Thompson","Fear and Loathing in Las Vegas and Other American Stories","4.27","3722","184","53927"
"Hunter S. Thompson","Hell's Angels: A Strange and Terrible Saga","3.98","52766","324","103905"
"Hunter S. Thompson","Curse of Lono","3.92","6086","162","50159"
"Hunter S. Thompson","The Great Shark Hunt","4.09","14064","891","282527"
"Sara Gruen","Water for Elephants","4.11","1670075","245","107844"
"Henry H. Neff","The Second Siege","4.19","9216","484","126771"
"Henry H. Neff","The Hound of Rowan","4.05","13565","394","103783"
"Larry Niven","Ringworld's Children","3.77","9428","281","69854"
"Larry Niven","Ringworld Engineers","3.88","33335","388","100804"
"Greg Mortenson & David Oliver Relin","Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time","3.66","358388","429","128516"
"Larry Niven","Ringworld Throne","3.55","11550","431","104306"
"Greg Mortenson","Stones Into Schools","3.85","17047","368","107800"
"Sebastian Faulks","Human Traces","3.69","5712","633","247429"
"Sebastian Faulks","Charlotte Gray","3.83","12526","598","167570"
"Sebastian Faulks","Birdsong","4.11","82035","554","168755"
"Kathy Reichs","Virals","3.95","40313","407","84308"
"Kathy Reichs","Spider Bones","3.93","27023","380","74983"
"David Mitchell","Black Swan Green","3.98","43192","424","111824"
"David Mitchell","Number9Dream","3.87","26059","442","136655"
"David Mitchell","Ghostwritten","4.05","32078","497","138176"
"Bernard Cornwell","Stonehenge: 2000 B.c.","3.69","12999","513","162820"
"Bernard Cornwell","Harlequin","4.15","32636","436","133905"
"Bernard Cornwell","The Fort","3.66","6738","475","137480"
"Richard Laymon","Funland","3.79","4583","573","132429"
"Daniel Defoe","Robinson Crusoe","3.68","321466","343","128736"
"Margaret Atwood","The Year of the Flood","4.07","129822","387","120313"
"Margaret Atwood","The blind assassin","3.96","159848","1150","356043"
"Arthur C. Clarke","2001: A Space Odyssey","4.17","326866","207","61837"
"Walt Whitman","Leaves of Grass","4.12","113370","831","248140"
"Cormac McCarthy","All the pretty horses","4.05","136378","372","101257"
"Cormac McCarthy","The Road","4.0","981388","156","58727"
"Ray Bradbury","Fahrenheit 451","3.97","2643543","164","45840"
"Stieg Larsson","The Girl with the Dragon Tattoo","4.17","3337240","578","167884"
"Stieg Larsson","The Girl Who Played with Fire","4.26","957074","661","185904"
"David McCullough","1776","4.1","240246","376","118201"
"David McCullough","John Adams","4.08","370670","689","241464"
"J. M. Barrie","Peter Pan","4.03","362958","223","63484"
"Sam Bourne","The Last Testament","3.64","4512","435","125757"
"Markus Zusak","The Book Thief","4.39","2752370","475","119759"
"Joe Abercrombie","The Blade Itself","4.22","279459","646","190796"
"George Orwell","1984","4.2","5080665","283","103882"
"Siddhartha Mukherjee","The Emperor of All Maladies: A Biography of Cancer","4.34","109044","822","215021"
"David Mitchell","The Thousand Autumns of Jacob De Zoet","4.03","66344","667","160216"
"Fyodor Dostoevsky","The Karamazov Brothers","4.38","361363","1101","351514"
"Kurt Vonnegut","Cat's cradle","4.15","422479","217","53969"
"Kurt Vonnegut Jr.","Slaughterhouse-Five","4.1","1433890","179","50035"
"Kurt Vonnegut Jr.","Look at the Birdie: Unpublished Short Fiction","3.97","8278","236","63535"
"Kurt Vonnegut Jr.","The Petrified Ants","3.73","323","19","6774"
"Iain Banks","The Crow Road","4.09","23743","513","146807"
"Kurt Vonnegut Jr.","Deadeye Dick","3.84","30701","185","59454"
"Iain M. Banks","Use of Weapons","4.16","50693","341","129729"
"Iain M. Banks","Surface Detail","4.26","29398","708","200774"
"Iain M. Banks","Excession","4.2","33081","416","151238"
"Iain M. Banks","Look to Windward","4.23","28545","315","118750"
"Iain M. Banks","Inversions","3.95","19563","404","119124"
"Iain M. Banks","Transition","3.87","11263","443","134809"
"Iain M. Banks","The Algebraist","4.04","23689","682","191633"
"Iain M. Banks","Matter","4.11","29067","615","183472"
"Alexandre Dumas","Twenty Years After","4.09","24906","943","243160"
"Alexandre Dumas","Man in the Iron Mask","3.99","70812","936","258958"
"David Byrne","Bicycle Diaries","3.51","6922","242","80673"
"John Updike","Licks of Love: Short Stories and a Sequel, ""Rabbit Remembered""","3.8","1400","153","59194"
"Lewis Carroll","Alice's Adventures in Wonderland & Through the Looking-Glass","4.07","591140","236","72406"
"John Updike","The Maples Stories","4.01","1179","191","57723"
"John Updike","Rabbit Is Rich","3.93","17609","628","168715"
"John Updike","Rabbit Redux","3.81","16164","469","130885"
"John Updike","Rabbit at Rest","4.0","16204","679","187832"
"John Updike","Rabbit, Run","3.59","62110","327","102240"
"Jane Austen","Emma","4.05","936943","566","195620"
"Jane Austen","Sense and Sensibility","4.09","1250693","404","131578"
"Zadie Smith","Changing My Mind: Occasional Essays","3.83","6094","312","109095"
"Frank Herbert","God Emperor of Dune","3.88","135147","805","139259"
"Philip Pullman","La Daga","4.15","449965","343","99263"
"Philip Pullman","Lyra's Oxford","3.63","29311","28","8140"
"Philip Pullman","El Reloj Mecánico","3.87","8254","540","159085"
"Chuck Palahniuk","Survivor","3.93","121849","295","72653"
"Chuck Palahniuk","Rant","3.84","69294","298","78344"
"Chuck Palahniuk","Lullaby","3.74","101963","186","62704"
"Chuck Palahniuk","Diary","3.65","80074","247","64527"
"Chuck Palahniuk","Choke","3.71","217068","276","70608"
"Chuck Palahniuk","Fight Club","4.18","623127","201","49225"
"Haruki Murakami","After the Quake","3.77","56359","135","39873"
"Haruki Murakami","The Elephant Vanishes","3.83","56004","336","102814"
"Haruki Murakami","Hard-Boiled Wonderland and the End of the World","4.12","146168","421","116966"
"Haruki Murakami","After Dark","3.74","179231","172","47231"
"Haruki Murakami","Blind Willow, Sleeping Woman","3.84","42048","420","127596"
"Haruki Murakami","Underground: The Tokyo Gas Attack and the Japanese Psyche","3.91","21471","371","133235"
"Leo Tolstoy","War and Peace","4.17","352357","1838","567098"
"Voltaire","Candide","3.76","290870","145","47759"
"David Foster Wallace","Consider the Lobster and Other Essays","4.19","52374","301","106508"
"Michael Pollan","Food Rules: An Eater's Manual","3.99","48100","45","12524"
"Michael Pollan","A Place of My Own: The Architecture of Daydreams","3.86","5389","316","108659"
"Homer","The Iliad","3.92","485522","622","205537"
"Fyodor Dostoevsky","The Idiot","4.21","202882","791","243849"
"Fyodor Dostoevsky","Crime and Punishment","4.28","1000084","686","217862"
"Kurt Vonnegut","Mother night","4.23","100501","180","49491"
"Kurt Vonnegut","Player piano","3.9","60311","374","100269"
"Kurt Vonnegut","Breakfast of Champions","4.06","271790","209","58249"
"Kurt Vonnegut","Galápagos","3.87","85553","223","68580"
"Iain M. Banks","The Player of Games","4.28","76972","304","114850"
"Iain M. Banks","Consider Phlebas","3.85","96386","447","171625"
"Alexandre Dumas","The Three Musketeers","4.1","336756","906","249748"
"Dante Alighieri","The Divine Comedy","4.08","163675","558","111794"
"Jane Austen","Pride and Prejudice","4.29","4528056","424","137160"
"Jane Austen","Mansfield Park","3.86","366689","496","173168"
"Jane Austen","Northanger Abbey","3.85","430379","294","93789"
"Jane Austen","Persuasion","4.15","740334","301","99223"
"Rudyard Kipling & Lisa Makman","The Jungle Books","4.01","88392","391","133535"
"Frank Herbert","Children of Dune","3.96","227548","418","155627"
"Frank Herbert","Dune","4.28","1531690","793","205516"
"Frank Herbert","Heretics of Dune","3.86","94706","654","164886"
"Philip Pullman","The Golden Compass","4.03","1582813","414","102969"
"Haruki Murakami","South of the Border, West of the Sun","3.86","141101","183","58381"
"Leo Tolstoy & Leo Tolstoj","Anna Karenina, Vol 1 of 2","4.12","9308","1265","379959"
"David Foster Wallace","The Broom of the System","3.85","23677","593","155933"
"David Foster Wallace","Oblivion: stories","4.07","15375","359","128688"
"Barbara W. Tuchman","The Guns of August","4.18","81353","653","206203"
"Michael Pollan","In Defense of Food: An Eater's Manifesto","4.07","118000","213","62874"
"Michael Pollan","The botany of desire: a plant's-eye view of the world","4.06","58086","244","83200"
"Michael Pollan","The omnivore's dilemma: a natural history of four meals","4.19","207898","410","147280"
"Adam L. G. Nevill","Banquet for the Damned","3.64","1554","387","150043"
"Jeff Somers","The Terminal State","4.05","795","329","103555"
"Jeff Somers","The Eternal Prison","3.93","1138","406","121678"
"Jeff Somers","The Electric Church","3.75","3193","329","99189"
"Jim Thompson","Bad Boy","3.73","672","190","56160"
"Jeff Somers","The Digital Plague","3.84","1608","335","104089"
"Jim Thompson","The Kill-Off","3.74","1341","215","64015"
"Jim Thompson","South of Heaven","3.7","731","220","63457"
"Jim Thompson","Texas by the Tail","3.52","672","231","62867"
"Jim Thompson","Cropper's Cabin","3.58","565","193","52018"
"Jim Thompson","The Criminal","3.66","821","150","42282"
"Steven Harper","Trickster","4.04","200","358","101524"
"Steven Harper","Offspring","3.94","171","472","129144"
"Steven Harper","Nightmare","4.12","243","373","104713"
"Steven Harper","Dreamer","3.83","438","447","123528"
"Rachel Swirsky","A Memory of Wind","3.81","717","46","12619"
"Rachel Swirsky","Eros, Philia, Agape","3.66","696","40","11629"
"Kylie Chan","Blue Dragon","4.15","3017","660","159501"
"Kylie Chan","Red Phoenix","4.13","3208","602","153479"
"Krista Vernoff & A. Z. Ferguson","The Game On! Diet: Kick Your Friend's Butt While Shrinking Your Own","3.86","550","170","74811"
"Estelle Lazer","Resurrecting Pompeii","3.58","36","539","172316"
"Michael Moorcock","Elric Of Melnibone","3.89","29831","165","48009"
"Deborah Donnelly","Death Takes a Honeymoon","3.65","249","339","95479"
"Deborah Donnelly","Died to Match","3.62","277","320","89827"
"Deborah Donnelly","Veiled Threats","3.64","546","319","93256"
"Chris Stewart","Three Ways to Capsize a Boat: An Optimist Afloat","3.82","1621","139","46171"
"Marie Osmond & Marcia Wilkie","Might as Well Laugh About It Now","3.73","1786","191","60180"
"Robert Alexander","The Romanov Bride","3.57","2500","254","82025"
"Diane Duane","The Empty Chair","4.04","454","452","134488"
